Dataset,Time_Step,N_Samples,Epsilon,POPQORN_Success,ZeroSplit_Success,POPQORN_Time,ZeroSplit_Time,ZeroSplit_Better,Improvement_Mean
stock,10,10,0.5,True,True,0.1163,0.3590,False,0.1427278071641922
stock,10,10,1.0,True,True,0.1162,0.3878,False,0.3006095886230469
stock,10,10,1.5,True,True,0.1487,0.4311,False,0.4858023524284363
stock,10,10,2.0,True,True,0.1618,0.4077,False,0.7313494086265564
stock,10,10,3.0,True,True,0.1241,0.3962,False,3.173535108566284
stock,10,10,4.0,True,True,0.1166,0.3626,False,15.82241153717041
stock,10,10,5.0,True,True,0.1449,0.3622,False,25.81486701965332
stock,10,50,0.5,True,True,0.1641,0.4605,False,0.14188984036445618
stock,10,50,1.0,True,True,0.1268,0.4048,False,0.3033699691295624
stock,10,50,1.5,True,True,0.1593,0.4132,False,0.486085444688797
stock,10,50,2.0,True,True,0.1293,0.4124,False,0.7294918894767761
stock,10,50,3.0,True,True,0.1677,0.4045,False,3.6940970420837402
stock,10,50,4.0,True,True,0.1340,0.4112,False,16.30282211303711
stock,10,50,5.0,True,True,0.1326,0.4070,False,26.060598373413086
stock,10,100,0.5,True,True,0.1741,0.5332,False,0.14042696356773376
stock,10,100,1.0,True,True,0.1602,0.4964,False,0.30546921491622925
stock,10,100,1.5,True,True,0.1942,0.6073,False,0.488514244556427
stock,10,100,2.0,True,True,0.1837,0.5384,False,0.7441883683204651
stock,10,100,3.0,True,True,0.1791,0.5051,False,5.494492053985596
stock,10,100,4.0,True,True,0.1615,0.5797,False,17.571386337280273
stock,10,100,5.0,True,True,0.2142,0.6308,False,26.633800506591797
stock,10,200,0.5,True,True,0.3259,0.8963,False,0.1373274177312851
stock,10,200,1.0,True,True,0.2698,0.8370,False,0.30494290590286255
stock,10,200,1.5,True,True,0.2517,0.7467,False,0.49243423342704773
stock,10,200,2.0,True,True,0.2701,0.8466,False,0.9015566110610962
stock,10,200,3.0,True,True,0.2892,0.8105,False,8.071479797363281
stock,10,200,4.0,True,True,0.2702,0.8647,False,18.97747802734375
stock,10,200,5.0,True,True,0.2452,0.7610,False,26.78506088256836
mnist,2,10,0.01,True,True,0.0144,0.0493,False,0.05431215465068817
mnist,2,10,0.05,True,True,0.0062,0.0528,False,0.28559982776641846
