No.,Open,High,Low,Close,ClassificationValue
0,61.28,61.66,60.92,61.52,1
1,61.25,61.31,60.67,61.19,1
2,60.33,60.99,60.16,60.73,1
3,59.99,60.16,59.46,59.8,1
4,59.48,60.04,59.38,59.86,1
5,59.53,60.07,59.33,59.63,1
6,59.46,59.77,59.07,59.22,1
7,59.19,60.05,59.19,59.77,1
8,59.59,59.98,59.13,59.13,1
9,59.0,59.57,58.84,59.31,1
10,59.35,59.63,58.49,58.8,1
11,59.27,59.7,59.2,59.4,1
12,59.13,59.57,58.84,58.88,1
13,59.79,59.95,59.15,59.24,1
14,60.59,60.59,59.5,59.77,1
15,59.94,60.8,59.61,60.61,1
16,60.31,60.53,59.67,59.79,1
17,60.55,60.92,60.3,60.33,1
18,59.58,60.67,59.58,60.55,1
19,59.37,59.79,59.24,59.51,1
20,59.22,59.29,58.82,59.21,1
21,59.54,59.78,59.05,59.38,1
22,59.07,59.64,58.93,59.28,1
23,59.14,59.41,57.92,58.99,1
24,60.31,60.45,59.13,59.21,1
25,60.62,60.72,59.71,60.15,1
26,60.26,60.76,59.98,60.63,1
27,60.14,60.54,60.1,60.1,1
28,60.8,60.84,60.33,60.4,1
29,60.8,61.15,60.76,60.81,1
30,60.01,60.77,59.81,60.73,1
31,59.45,60.81,59.45,60.34,1
32,59.54,60.48,59.41,60.37,1
33,59.23,59.72,59.04,59.51,1
34,59.53,59.7,58.92,59.3,1
35,58.5,59.34,58.07,59.23,1
36,59.8,59.98,58.0,58.66,1
37,56.52,56.52,55.85,56.08,1
38,56.09,56.32,55.86,56.13,1
39,55.9,56.27,55.6,55.85,1
40,56.31,56.37,55.67,55.77,1
41,58.38,58.38,56.45,56.83,1
42,56.07,56.76,56.01,56.7,1
43,56.16,56.4,55.96,56.16,1
44,56.13,56.38,55.8,56.23,1
45,56.85,56.94,56.08,56.27,1
46,56.42,56.89,56.29,56.87,1
47,56.65,56.82,55.93,56.32,1
48,56.85,56.96,56.59,56.64,1
49,56.2,56.75,56.16,56.7,1
50,55.68,56.26,55.61,56.16,1
51,55.85,55.97,55.51,55.93,1
52,55.5,55.99,55.36,55.8,1
53,55.31,55.35,54.84,55.05,1
54,54.93,55.5,54.83,55.43,1
55,55.0,55.33,54.8,54.83,1
56,54.75,55.19,54.51,54.81,1
57,53.93,54.52,53.91,54.44,1
58,53.26,53.39,52.84,53.27,1
59,53.33,53.4,52.79,53.13,1
60,53.35,53.42,52.95,53.07,1
61,53.02,53.6,52.68,53.03,1
62,52.63,53.7,52.43,53.46,1
63,52.43,52.74,52.31,52.33,1
64,52.85,53.03,52.47,52.55,1
65,52.7,52.9,52.37,52.83,1
66,52.9,53.26,52.68,52.72,1
67,53.07,53.07,52.7,52.84,1
68,52.7,53.23,52.26,53.15,1
69,52.72,53.22,52.7,52.71,1
70,53.24,53.24,52.48,52.62,1
71,52.9,53.21,52.73,53.2,1
72,53.07,53.23,52.81,52.87,1
73,53.13,53.42,52.9,53.32,1
74,53.26,53.42,52.78,53.12,1
75,53.29,53.61,53.1,53.44,1
76,52.6,53.34,52.42,53.24,1
77,54.05,54.05,52.84,53.08,1
78,53.04,53.78,52.72,53.18,1
79,52.79,53.47,52.65,53.13,1
80,53.28,53.73,52.48,52.66,1
81,53.31,53.63,53.0,53.15,1
82,53.06,53.53,52.92,53.31,1
83,53.43,54.05,52.83,53.05,1
84,53.31,54.82,53.02,54.1,1
85,52.24,52.26,51.96,52.21,1
86,52.14,52.46,51.99,52.45,1
87,51.69,52.36,51.48,52.15,1
88,51.44,51.58,51.13,51.43,1
89,51.26,51.56,50.95,51.41,1
90,51.06,51.44,50.86,51.21,1
91,51.64,51.82,51.18,51.25,1
92,51.38,52.04,51.15,51.98,1
93,52.04,52.08,51.33,51.38,1
94,51.62,52.26,51.62,52.04,1
95,51.52,51.65,51.23,51.3,1
